Name,Address Line 1,Address Line 2,,
101 Sunset Ave,101 Sunset Ave NW,"Atlanta, GA 30314",,
1054/1058 RIDGE,1054 and 1058 RIDGE AVE SW,"Atlanta, GA 30315",,
1115 Ponce,1115 Ponce Deleon Ave,"Atlanta, GA 30306",,
12TH & JAMES LUXURY (PEAKS@WEST ATL),1212 James Jackson Pkwy,"ATLANTA, GA 30318",,
166 Anderson,166 Anderson Avenue,"Atlanta, GA 30314",,
1890 HOUSE APARTMENTS,1890 MYRTLE DR SW,"Atlanta, GA 30311",,
2037 Joseph E. Boone,2037 Joseph E. Boone Ave,"ATLANTA, GA 30314",,
216 Andrew Hairston,216 Andrew Hairston Blvd,"ATLANTA, GA 30314",,
221 Dodd Avenue,221 Dodd Street,"Atlanta, GA 30315",,
2811 DEERWOOD LANE,2830 DEERWOOD LN SW,"ALTANTA, GA 30331",,
294 Penelope,294 Penelope St,"Atlanta, GA 30314",,
301 Glen Iris Drive,301 GLEN IRIS DR NE,"ATLANTA, GA 30312",,
314th 5th Street,314 5th Street,"Atlanta, GA 30318",,
359 Lanier Street,359 Lanier Street,"Atlanta, GA 30318",,
395 Brawley,395 James P. Brawley Drive NW,"Atlanta, GA 30314",,
407 Sunset,407 Sunset Avenue,"Atlanta, GA 30314",,
4282 ROSWELL ROAD,4282 ROSWELL RD,"ATLANTA, GA 30342",,
478 NORTH HIGHLAND,478 NORTH HIGHLAND AVE,"Atlanta, GA 30307",,
496 LINDSAY,496 LINDSAY STREET,"Atlanta, GA 30314",,
583 Paines Avenue,583 Paines Avenue NW,"Atlanta, GA 30318",,
600 PARKWAY DRIVE,600 PARKWAY DR NE,"Atlanta, GA 30308",,
615 Oliver Street,615 Oliver St,"Atlanta, GA 30318",,
623 Griffin Street (Anova Apt),623 Griffin Street,"Atlanta, GA 30318",,
625 Jett Street,625 Jett Street,"Atlanta, GA 30318",,
635 JETT STREET,635 JETT STREET,"Atlanta, GA 30318",,
641 JONES AVENUE,641 JONES AVENUE NW,"ATLANTA, GA 30314",,
669 Boulevard,669 Boulevard NE,"Atlanta, GA 30308",,
740 Cooper Street (Oliver Park),740 Cooper Street,"Atlanta, GA 30315",,
876 Washington Street,876 Washington Street,"Atlanta, GA 30315",,
925 Conley - Conley Square,925 Conley Rd SE,"Atlanta, GA 30354",,
960 GREENWOOD AVE,960 GREENWOOD AVE,"Atlanta, GA 30306",,
ABBINGTON ON CHESHIRE BRIDGE,2070 CHESHIRE BRIDGE RD. NE,"ATLANTA, GA 30324",,
ABERNATHY TOWERS,1059 Oglethorpe Ave SW,"Atlanta, GA 30310",,
Academy Lofts,711 Catherine Street,"Atlanta, GA 30310",,
Adair Court,806 Murphy Avenue SW,"Atlanta, Georgia 30310",,
ADAMS HOUSE APARTMENTS,2280 Campbellton Rd.,"ATLANTA, GA 30311",,
ADDISON AT CASCADE,1768 Devon Dr SW,"ATLANTA, GA 30311",,
Amli Buckhead,3450 Roxboro Rd NE,"Atlanta, GA 30326",,
Amli Lenox,3478 Lakeside Dr NE,"Atlanta, GA 30326",,
Amli Lindbergh,2400 Parkland Drive NE,"Atlanta, GA 30324",,
Amli Old 4th Ward,525 Glen Iris Dr NE,"Atlanta, GA 30308",,
Amli Parkside,660 Ralph McGill Blvd NE,"Atlanta, GA 30308",,
Amli Piedmont Heights,2323 Piedmont Road,"Atlanta, GA 30324",,
Amli Westside,1084 Howell Mill Road,"Atlanta, GA 30318",,
APPLETREE TOWNHOMES,2328 Campbellton Rd,"Atlanta, GA 30311",,
ARBORS OF EAST ATLANTA,1800 Memorial Dr. SE,"Atlanta, GA 30317",,
ART FOUNDRY,400 17TH ST NW,"ALTANTA, GA 30363",,
ASHLEY CASCADE I,1371 KIMBERLY WAY,"ATLANTA, GA 30331",,
ASHLEY CASCADE II,1371 KIMBERLY WAY,"ATLANTA, GA 30331",,
ASHLEY CASCADE III,1371 KIMBERLY WAY,"ATLANTA, GA 30331",,
Ashley Collegetown II,965 Sells Ave,"Atlanta, GA 30310",,
Ava's Place,865 Fox Street,"Atlanta, GA 30318",,
AVONLEA WESTSIDE (2788 DEFOORS FERRY),2788 Defoors Ferry Rd,"Atlanta, GA 30318",,
BAPTIST GARDENS (SENIOR),1901 Myrtle Dr SW,"Atlanta, GA 30311",,
BAPTIST TOWERS (SENIOR),1881 Myrtle Dr SW,"Atlanta, GA 30311",,
Betmar Village,345 Ashwood Ave,"Atlanta, GA 30315",,
BIG BETHEL VILLAGE (SENIOR),500 Richard Allen Blvd,"Atlanta, GA 30331",,
Bridge Side Apartments,1955 La Dawn Lane,"Atlanta, GA 30318",,
BROOKSIDE PARK APARTMENTS,565 St Johns Ave SW,"Atlanta, GA 30315",,
CALVIN COURT APARTMENTS (SENIOR),479 East Paces Ferry Road NE,"Atlanta, GA 30305",,
CAPTAIN'S LUXURY APARTMENTS,741 Carter St.,"Atlanta, GA 30314",,
CASCADE COMMONS,3633 GINNIS RD SW,"ATLANTA, GA 30311",,
CASCADE HEIGHTS,2367 CASCADE RD SW,"ATLANTA, GA 30311",,
CASCADE PARC,3475 PARC DR. SW,"Atlanta, GA 30311",,
CASTLETON APTS FKA PARK@CASLETON II,2051 BENT CREEK WAY SW,"ATLANTA, GA 30311",,
CENTRA VILLA APARTMENTS,1717 CENTRA VILLA DR. SW,"ATLANTA, GA 30311",,
Chastain Gardens,714 Bryan Street,"Atlanta, GA 30312",,
CITY CENTRAL CONDOMINIUMS,2285 METROPOLITAN PKWY SW,"ATLANTA, GA 30315",,
CITY HEIGHTS CONDOS, 383 RALPH MCGILL BLVD NE,"ATLANTA, GA 30312",,
City of Refuge (1300 Mayson Turner),1300 Mayson Turner Rd,"Atlant, GA 30314",,
CITY VIEW AT ROSA BURNEY,259 Richard St.,"Atlanta, GA 30312",,
CITYSIDE LOFTS,502 Pryor St SW,"ATLANTA, GA 30312",,
CLAYBURNE PLACE CONDOS,2232 DUNSEATH AVE NW,"ATLANTA, GA 30318",,
Collier Flats,1000 Collier Rd,"Atlanta, GA 30318",,
Collier Valley,987 Collier Road,"ATLANTA, GA 30318",,
COLONIAL SQUARE APARTMENTS,2637 OLD HAPEVILLE RD SW,"ATLANTA, GA 30315",,
COLUMBIA AT PEOPLESTOWN APTS,222 Tuskegee Street,"Atlanta, GA 30315",,
COLUMBIA CITIHOMES,165 MARION PL NE,"ALTANTA, GA 30307",,
COMMONS OF EAST LAKE,251 Candler Rd.,"Atlanta, GA 30317",,
COSMOPOLITAN AT LINDBERGH,711 COSMOPOLITAN DR NE,"ATLANTA, GA 30324",,
Country Oaks,320 Fairburn Road,"Atlanta, GA 30331",,
CREEKSIDE AT ADAMSVILLE,3718 Martin Luther King Jr. Drive SW,"Atlanta ,GA 30331",,
Crogman School Lofts,1093 West Ave SW,"Atlanta, GA 30315",,
CROSS CREEK CONDOMINUIMS,184 TRIUMPH DR NW,"ATLANTA, GA 30327",,
CRYSTAL AT CASCADE,2900 Landrum Dr Sw,Atlanta GA 30311 ,,
CRYSTAL HEIGHTS APTS,3440 BOULDER PARK DR.,"ALTANTA, GA 30331",,
CRYSTAL TOWNHOMES,3804 MLK Jr. Drive SW,"ATLANTA, GA 30331",,
DAVID W. YEAGER APTS,516 Houlderness Street,"ATLANTA, GA 30310",,
DAYSPRING AT MORELAND DR,1051 MORELAND DR SE,"ATLANTA, GA 30315",,
DEER VALLEY (FORMERLY WELLS COURT),1856 WELLS DR.,"ATLANTA, GA 30311",,
DELANE COURT CONDOMINIUMS,1867 Myrtle Drive,"ATLANTA, GA 30311",,
DELTA KINGSTON ABBEY,3350 MOUNT GILEAD RD.,"ATLANTA, GA 30311",,
Dolphin Cove,1130 Dolphin Dr,"Atlanta, GA 30311",,
Donnelly Courts,1250 Donnelly Ave,"Atlanta, GA 30306",,
DREAM COURT APARTMENTS,2410 Benjamin E. Mays Dr. SW,"ATLANTA, GA 30311",,
Dwell at Hollywood,1073 Hollywood Road,"Atlanta, GA 30318",,
DWELL AT THE VIEW,1620 HOLLYWOOD RD.,"ATLANTA, GA 30318",,
EAST POINT COMMONS TOWNHOMES,1660 STANTON RD SW,"ATLANTA, GA 30311",,
Edge on the Beltline,670 Dekalb Avenue,"ATLANTA, GA 30307",,
Edgewood Townhomes II,150 Hutchinson Street NE,"Atlanta, GA 30307",,
ENCLAVE AT CUSHMAN (AKA CUSHMAN CIRCLE),3164 Cushman Circle,"Atlanta, GA 30311",,
ENCLAVE AT GRANT PARK TOWNHOME,848 STRATUM WAY SE,"ATLANTA, GA 30312",,
Essex House Apartments,3627 Forrest Park Road,"Atlanta, GA 30354",,
Ezell Townhomes,432 IRA STREET,"ATLANTA, GA 30312",,
Fairfield Place,156 Fairfield Place,"Atlanta, Georgia",,
Fairway Apartments,1247 Joseph E Boone,"ATLANTA, GA 30314",,
FAITH HILL APARTMENTS,2046 JOSEPH E. BOONE,"ATLANTA, GA 30314",,
GARDENS AT WASHINGTON PARK I (FERDOWS),961 DESOTO ST NW,"ATLANTA, GA 30314",,
GARDENS AT WASHINGTON PARK II (FERDOWS),936 Mayson Turner Road NW,"Atlanta, GA 30314",,
Generation Atlanta,359 Centennial Olympic Park Drive,"Atlanta, GA 30313",,
Glenrose Gardens,85 Mt. Zion,"Atlanta, Georgia 30354",,
Glenrose Heights,10 Mt. Zion Rd,"Atlanta, Georgia 30354",,
GREENBRIAR COMMONS,3000 STONE HOGAN CONNECTOR RD SW,"ALTANTA, GA 30331",,
GREENBRIAR GLEN,3030 CONTINENTAL COLONY PKWY SW,"ALTANTA, GA 30331",,
GREENBRIAR MILL APARTMENTS,3379 Stone Rd,"Atlanta, GA 30331",,
GREENBRIAR TOWNHOMES,"20 PINE CANYON DR SW,","ALTANTA, GA 30331",,
Greenwood at Westview,1097 WESTVIEW DRIVE,"ALTANTA, GA 30310",,
HANK AARON APARTMENTS,865 Hank Aaron Dr. SW,"Atlanta, GA 30315",,
HARMONY PLAZA I APARTMENTS,1870 Myrtle Dr,"Atlanta, GA 30315",,
HARMONY PLAZA II APARTMENTS,1870 Myrtle Dr,"Atlanta, GA 30315",,
Hartland Station,2060 FLEET ST,"Atlanta, GA 30310",,
HIDDEN CRESTE APARTMENTS,3200 STONE RD. SW,"ATLANTA, GA 30331",,
HIDDEN OAKS APARTMENTS,2950 SPRINGDALE RD SW,"ATLANTA, GA 30315",,
Hidden Pines,3200-3230 Cushman Cir  ,"ALTANTA, GA 30311",,
Highland View,784 PONCE DE LEON PLACE,"ALTANTA, GA 30306",,
HILL STREET LOFTS,1195 MILTON TER SE,"ATLANTA, GA 30315",,
HILLSIDE VILLAS,707 ANGIER AVE,"ATLANTA, GA 30308",,
KIRKWOOD GARDENS APTS.,1929 Hosea L Williams Dr NE,"Atlanta, GA 30317",,
LAKEWOOD CHRISTIAN MANOR (SENIOR),2141 Springdale Rd,"Atlanta, GA 30315",,
LANDING SQUARE APTS. (ALTA COVENTRY),3378 Greenbriar Pkwy SW,"Atlanta, GA 30331",,
LAWRENCE WHITE APARTMENTS,10 MOUNT ZION RD SE,"ALTANTA, GA 30354",,
LENOX GREEN  CONDOMINIUMS,2657 LENOX RD NE,"ATLANTA, GA 30324",,
LIFE@GREENBRIAR(PINES@GREENBRIAR),2909 Campbelton Rd,"ATLANTA, GA 30311",,
LILLIE R CAMPBELL HOUSE (SENIOR),1830 Campbellton Rd SW,"Atlanta, GA 30311",,
LONDON TOWNHOUSES,311 SCOTT ST SW,"ATLANTA, GA 30311",,
Magnolia Park I,816 MAGNOLIA WAY NW,"ATLANTA, GA 30314",,
Magnolia Park II,814 MAGNOLIA WAY NW,"ATLANTA, GA 30314",,
MARTIN HOUSE (SENIOR),3724 Martin Luther King Drive,"Atlanta, GA 30311",,
MAYSON TURNER COMM. aka HERITAGE POINT,1350 Mayson Turner,"Atlanta, GA 30311",,
Metro Gardens Townhomes (metropolitan),3751 MLK Jr Drive SW,"ALTANTA, GA 30331",,
Monroe Place,2000 Monroe Place,"ALTANTA, GA 30324",,
MONTICELLO PARK,549 TUFTON TRL SE,"ALTANTA, GA 30354",,
MOORES MILL APARTMENTS,2453 CORONET WAY NW,"ATLANTA, GA 30318",,
NEW TOWNHOMES AT HAPEVILLE,2959 FORREST HILLS DR SW,"ATLANTA, GA 30315",,
NIRVANA AT GLENROSE (FKA CRYSTAL APARTME,50 MOUNT ZION RD.,"ATLANTA, GA 30354",,
NORTHSIDE PLAZA,440 Markam St. SW,"ALTANTA, GA 30313",,
Oak Pointe - Braden Fellman,485 Oakdale Rd,"Atlanta, Georgia",,
OAK POINTE APARTMENTS,251 CANDLER RD SE,"ATLANTA, GA 30317",,
OGLETHORPE PLACE APARTMENTS,835 Oglethorpe Place," Atlanta, GA 30310",,
OVERLOOK RIDGE (ENCLAVE@WEBSTER),2640 MARTIN LUTHER KING JR. DR.,"ATLANTA, GA 30311",,
PARK AT CASTLETON(FRM: PRES @ BENT CREEK,1993 BENT CREEK WAY SW,"ATLANTA, GA 30311",,
PARK AT LAUREL,1575 LAUREL PARK PL SW,"ATLANTA, GA 30310",,
PARK PLACE SOUTH,245 AMAL DRIVE,"ATLANTA, GA 30315",,
PARKSIDE APARTMENTS,1314 DONALD LEE HOLLOWELL PKWY.,"ATLANTA, GA 30318",,
PARKVIEW AT COVENTRY STATION (SENIOR),3381 Greenbriar Pkwy SW,"Atlanta, GA 30331",,
PEACHTREE BATTLE CONDOS,2285 PEACHTREE RD NE,"ALTANTA, GA 30309",,
PEACHTREE TOWER CONDOMINIUMS,300 PEACHTREE STREET NE,"ALTANTA, GA 30308",,
PERIMETER 294 (FKA BROWNLEE VILLA),294 BROWNLEE RD SW,"ATLANTA, GA 30311",,
PEYTON VILLAGE,95-275 PEYTON PLACE SW,"ATLANTA, GA 30311",,
PHARR MANOR,119 Pharr Road,"ATLANTA, GA 30305",,
PLATFORM APARTMENTS,290 MARTIN LUTHER KING JR. DR. SE,"ATLANTA, GA 30312",,
PROVIDENCE AT CASCADE,320 SW Fairburn Rd,"ALTANTA, GA 30331",,
QLS GARDENS,1870 CAMPBELLTON RD SW,"ATLANTA, GA 30311",,
REGAL HEIGHTS APARTMENTS,2640 Campbellton Rd,"ATLANTA, GA 30311",,
RES. AT CITYCENTER (FORMERLY CY AT MAPLE,55 Maple Street,"ATLANTA, GA 30314",,
REYNOLDSTOWN COMMONS,1124 WYLIE ST SE,"ATLANTA, GA 30316",,
RIVERWOOD CLUB APARTMENTS,901 BOLTON RD. NW,"ATLANTA, GA 30318",,
Roosevelt Lofts,745 HANSELL ST SE,"ATLANTA, GA 30312",,
ROSA BURNEY MANOR APARTMENTS,642 COOPER ST SW,"ATLANTA, GA 30312",,
"SELLS AVENUE APTS (1152, 1157)",1152 Sells Avenue,"Atlanta, GA 30310",,
SHAMROCK GARDENS APARTMENTS,1988 Plaza Lane," Atlanta, GA 30311",,
SIENA AT RENAISSANCE PARK, 220 RENAISSANCE PKWY NE,"ALTANTA, GA 30308",,
SKYLINE WEST,1390 NORTHSIDE DR. NW,"ATLANTA, GA 30318",,
SQUARE AT PEOPLESTOWN APTS,875 Hank Aaron Drive,"Atlanta, GA  30315",,
ST JAMES CONDOMINIUMS,3201 LENOX RD NE,"ATLANTA, GA 30324",,
STATION AT RICHMOND HILL,1770 Richmond Circle ,"Atlanta, GA  30315",,
SUNNY CASCADE FRMLY-HIDDEN HOLLOW,415 Fairburn Rd,"Atlanta, GA 30331",,
SYNERGY APARTMENTS,3787 MLK JR DR,"ATLANTA, GA 30311",,
TANGLEWOOD GARDEN APARTMENTS,140 Mt. Zion Rd.  ,"Atlanta, GA 30354",,
Terraces at Highbury Court,50 MOUNT ZION RD SW,"ATLANTA, GA 30315",,
THE AVERY FKA (419 CHAMBERLAIN),419 Chamberlain Street,"Atlanta, GA 30312",,
THE LIFE AT FAIRWAY GARDENS (GOLFVISTA),445 CLEVELAND AVE SE,"ATLANTA, GA 30315",,
THE LIFE AT MARKETPLACE(FKA RETREAT),3390 FAIRBURN RD SW,"ATLANTA, GA 30331",,
THE MANOR III APARTMENTS,262 AND 1483 ARTHUR LANGFORD PARKWAY,"ATLANTA, GA 30315",,
THE PARK AT BROWNS MILL,585 MCWILLIAMS RD SE,"ATLANTA, GA 30315",,
THE PEAKS AT MLK,2423 Martin Luther King Dr.,"Atlanta, GA 30311",,
THE PLACE,902 Bolton Road,"ATLANTA, GA 30318",,
THE VILLAS AT LAKEWOOD (AMAL HEIGHTS),1700 Giben Road SW,"Atlanta, GA  30315",,
TOWNE WEST MANOR,396 Brownlee Road ,"ATLANTA, GA 30311",,
True Light Haven,295 Penelope Drive,"Atlanta, GA 30314",,
VILLAGES OF CASCADE TOWNHOMES,921 SOCIETY CIR,"ALTANTA, GA 30331",,
VILLAS AT PRINCETON LAKES(PRES.@CASCADE),751 Fairburn Rd,"Atlanta, GA  30331",,
VILLAS AT THE DOME PHASE I,516 MAGNOLIA ST NW,"ATLANTA, GA 30314",,
VILLAS AT THE DOME PHASE II,516 MAGNOLIA ST NW,"ATLANTA, GA 30314",,
VINEYARDS AT BROWNS MILL,2738 Vineyards Dr SE,"Atlanta, GA 30354",,
WASHINGTON FLATS (THE MANOR),"1003 1009, 1015, 1019 WASHINGTON ST. SW","ATLANTA, GA 30315",,
WASHINGTON HEIGHTS APTS (1038/1044),1038 Washington Street,"ATLANTA, GA 30315",,
WESTLAKE APARTMENTS,2113 Defoors Ferry  Rd,"ATLANTA, GA 30318",,
Westside Courts,2113 Defoors Ferry Rd NW  ,"ATLANTA, GA 30318",,
WESTSIDE CROSSING (STANFORD VILLAGE),2265 Perry Blvd,"ATLANTA, GA 30318",,
WESTSIDE OAKS FKA 710 North AvE,710 North Ave NW,"ATLANTA, GA 30318",,
WESTSIDE TOWNHOMES formerly Summergate,1514 NORTHWEST DR NW,"ATLANTA, GA 30318",,
WILDWOOD PARK TOWNHOUSES,405 Fairburn Rd,"ATLANTA, GA 30331",,
WINDSOR OVER PEACHTREE,620 PEACHTREE ST NE,"ALTANTA, GA 30308",,
Woodland Gardens,1177 Woodland Ave NE,"Atlanta, GA 30324",,
WOODLAND VIEW APTS,1195 Woodland Ave,"ATLANTA, GA 30324",,
Woodland Vista,1079 Woodland Avenue NE (total units 40),"Atlanta, GA 30324 ",,
,,,,